title,location,type,area,bedrooms,bathrooms,yearBuilt,amenities,price
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,4655,1,2,2007,"Garden,Gym,WiFi,Pool,Security",1547093
Premium Villa in Bangalore,"Bangalore, KA",Villa,3128,5,2,1990,"Pool,Parking,WiFi,Garden",2535589
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2547,5,1,2019,"Parking,Gym",1079688
Premium Villa in Pune,"Pune, MH",Villa,3639,2,1,1999,"Parking,Security,Garden,WiFi",1876033
Premium Villa in Bangalore,"Bangalore, KA",Villa,4332,2,1,2006,"WiFi,Garden",2891866
Premium Condo in Kolkata,"Kolkata, WB",Condo,4644,1,4,2009,"Pool,Parking",1652630
Premium Condo in Chennai,"Chennai, TN",Condo,1577,1,2,1983,"Parking,Pool",532803
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,2166,1,4,1995,"Security,Garden,Pool",1185096
Premium Villa in Kolkata,"Kolkata, WB",Villa,4814,4,3,2005,"Parking,Garden,WiFi,Security",2681261
Premium Villa in Mumbai,"Mumbai, MH",Villa,697,6,4,2001,"Parking,Pool,Garden,Gym,WiFi",1654837
Premium Villa in Chennai,"Chennai, TN",Villa,1646,1,1,1992,"Parking,Security,Garden",800430
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,1540,2,2,2019,Parking,652072
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,3466,1,1,2017,WiFi,1203689
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,4474,1,1,2014,Parking,2262031
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,3943,2,4,1994,Pool,1306955
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,3016,1,4,2019,"Pool,Gym,Security,Garden",4315851
Premium Villa in Bangalore,"Bangalore, KA",Villa,4938,5,1,2022,WiFi,4078045
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4271,6,2,2015,Pool,5096878
Premium Apartment in Pune,"Pune, MH",Apartment,3039,5,2,2003,"Pool,Security,WiFi,Garden",1159762
Premium Villa in Mumbai,"Mumbai, MH",Villa,4838,6,2,2003,"WiFi,Security",4886618
Premium Apartment in Delhi,"Delhi, DL",Apartment,750,2,4,2005,"Gym,Garden,Parking",706218
Premium Villa in Chennai,"Chennai, TN",Villa,3205,3,4,2016,"Security,Pool",1684887
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,4027,1,2,2014,Pool,1259736
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,4613,4,2,2010,Security,1734153
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,4491,4,1,2017,"WiFi,Garden,Security,Gym",3105252
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,698,6,2,1980,"Security,Pool,Parking,Gym,WiFi",521397
Premium Villa in Kolkata,"Kolkata, WB",Villa,4070,5,3,1987,"WiFi,Gym",2113156
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,3932,4,4,2022,"Security,WiFi,Parking",2933366
Premium Villa in Delhi,"Delhi, DL",Villa,1091,5,4,2004,"Garden,Pool,WiFi,Gym",1900535
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,4243,5,2,2023,"WiFi,Pool,Gym,Garden",2153942
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,3660,4,3,2002,WiFi,1267314
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,4103,2,3,2014,Security,2075541
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,2844,4,2,2020,"WiFi,Gym,Parking,Pool,Security",1509126
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,2369,2,2,2020,"Parking,Security",813818
Premium Condo in Delhi,"Delhi, DL",Condo,1211,6,4,2022,"Garden,Security",1430219
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4577,6,4,1985,"Security,Garden,Pool,Parking,Gym",3507025
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,3611,3,3,2018,"Garden,Pool,Gym,WiFi,Parking",1322631
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2565,4,4,2021,"Parking,Pool,WiFi",950718
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,1261,5,2,2006,"Security,Pool,WiFi,Garden,Gym",997521
Premium Condo in Bangalore,"Bangalore, KA",Condo,2924,2,3,2006,"WiFi,Gym,Parking,Pool,Security",1706915
Premium Apartment in Pune,"Pune, MH",Apartment,1146,5,4,1986,"WiFi,Pool,Gym",653447
Premium Condo in Kolkata,"Kolkata, WB",Condo,4426,6,2,1993,"Gym,WiFi,Garden,Parking,Security",1714810
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4461,2,2,2010,"Pool,Parking",3083204
Premium Condo in Delhi,"Delhi, DL",Condo,2884,2,4,1980,"Pool,Security,Garden",1745882
Premium Condo in Chennai,"Chennai, TN",Condo,2708,3,2,2008,Parking,939909
Premium Villa in Delhi,"Delhi, DL",Villa,4166,5,3,2023,"Parking,Pool,Security,Garden,WiFi",4545710
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,4399,2,4,1984,"Gym,Parking",2079054
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,4323,2,3,1986,"Gym,WiFi",2056510
Premium Condo in Pune,"Pune, MH",Condo,4862,2,2,2001,"Pool,WiFi",1661100
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,3856,3,4,2003,"WiFi,Security",1370521
Premium Villa in Delhi,"Delhi, DL",Villa,2218,4,3,1991,"Parking,Pool,WiFi",2260792
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,882,1,1,1983,"Garden,Gym,Parking,Security,WiFi",523163
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,1588,6,1,1993,"Security,WiFi,Pool",857313
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,2172,6,3,2012,"Pool,Security,Garden",1107461
Premium Villa in Pune,"Pune, MH",Villa,755,2,2,1981,"Gym,Garden,Security,Pool,WiFi",572245
Premium Villa in Mumbai,"Mumbai, MH",Villa,3132,4,1,1998,"Security,WiFi,Garden,Parking,Pool",3703731
Premium Apartment in Chennai,"Chennai, TN",Apartment,1073,4,3,1999,"Parking,Pool,Garden",619720
Premium Villa in Mumbai,"Mumbai, MH",Villa,3654,2,2,2022,WiFi,3850703
Premium Villa in Kolkata,"Kolkata, WB",Villa,1766,6,1,2024,"Pool,Gym,Parking,WiFi,Security",1304607
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,3951,4,1,2020,"Gym,Parking,WiFi,Pool",2060373
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,4853,1,3,2010,"WiFi,Garden,Gym",1442515
Premium Condo in Delhi,"Delhi, DL",Condo,4930,4,4,2014,"Pool,Parking",2927840
Premium Condo in Kolkata,"Kolkata, WB",Condo,2182,5,1,1993,"Security,Gym,Parking,WiFi,Garden",930520
Premium Villa in Pune,"Pune, MH",Villa,1838,2,1,1988,"Parking,Gym,Garden",1070056
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,2479,4,1,1987,"WiFi,Garden,Security,Gym",1366434
Premium Condo in Chennai,"Chennai, TN",Condo,2893,1,1,2016,Gym,985854
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,4104,2,1,1981,"Pool,Garden,Gym,WiFi",2955729
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2275,1,2,1992,"Security,WiFi,Garden,Pool,Gym",830759
Premium Apartment in Pune,"Pune, MH",Apartment,1800,5,2,2019,"Gym,Garden,Parking,Security,WiFi",832882
Premium Condo in Chennai,"Chennai, TN",Condo,762,6,4,1984,"Garden,Parking",656596
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,4084,5,4,1999,"Pool,WiFi,Gym",1426484
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,3939,2,4,1995,Security,2185203
Premium Apartment in Delhi,"Delhi, DL",Apartment,4628,3,1,1986,"Pool,Security,Parking",2720256
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,4549,5,3,1983,"Security,Parking,Garden,Gym",1590713
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,1873,2,4,1983,"WiFi,Security,Pool,Gym,Garden",2335915
Premium Villa in Bangalore,"Bangalore, KA",Villa,3382,3,2,2015,"Pool,Gym",2843770
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,539,2,4,1992,Pool,315179
Premium Apartment in Pune,"Pune, MH",Apartment,3963,5,4,1993,"Parking,WiFi,Security,Pool",1556857
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,2618,2,4,2022,"Parking,WiFi",1831510
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,2634,4,2,2011,"Parking,Pool",1104924
Premium Condo in Delhi,"Delhi, DL",Condo,4942,2,1,2005,"WiFi,Pool,Gym,Garden",2976513
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,3832,6,4,1995,"Pool,Gym,Garden",2626903
Premium Condo in Kolkata,"Kolkata, WB",Condo,3723,3,4,1985,"Gym,Pool,Security,Parking",1357927
Premium Penthouse in Pune,"Pune, MH",Penthouse,2671,1,3,2023,"Pool,Garden,WiFi,Security",1846450
Premium Condo in Mumbai,"Mumbai, MH",Condo,3173,6,4,2019,Parking,2693903
Premium Villa in Chennai,"Chennai, TN",Villa,1729,3,2,1991,"Garden,WiFi",1002038
Premium Villa in Kolkata,"Kolkata, WB",Villa,3267,2,1,1993,"Garden,Security,Pool,Parking,WiFi",1510043
Premium Villa in Delhi,"Delhi, DL",Villa,1291,5,3,2013,"Garden,Security,Parking",1977166
Premium Penthouse in Delhi,"Delhi, DL",Penthouse,1278,1,4,2019,Security,1987215
Premium Condo in Delhi,"Delhi, DL",Condo,3508,3,4,2022,"WiFi,Garden",2183594
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,1469,6,1,2006,"Gym,WiFi,Garden",2429033
Premium Apartment in Delhi,"Delhi, DL",Apartment,1622,6,1,2000,"Pool,Gym",1422848
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,1114,6,1,2020,"Pool,Gym,Parking,WiFi,Garden",1017959
Premium Apartment in Delhi,"Delhi, DL",Apartment,3303,5,4,1986,"Garden,Gym",2496804
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,4928,5,4,2006,"Security,Garden,WiFi,Parking",2463658
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4310,2,4,2010,"Security,Pool",4316907
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,2959,2,4,1982,"Pool,WiFi,Security,Gym,Garden",1041731
Premium Villa in Pune,"Pune, MH",Villa,4046,4,4,1984,"WiFi,Parking,Gym,Pool",2409496
Premium Townhouse in Pune,"Pune, MH",Townhouse,2758,6,3,2022,"WiFi,Pool",1092883
Premium Condo in Mumbai,"Mumbai, MH",Condo,686,3,1,2020,Pool,738902
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,3484,5,4,1997,"Security,Garden,Parking",6014480
Premium Villa in Delhi,"Delhi, DL",Villa,3549,5,1,2009,"WiFi,Parking,Security,Garden",3932520
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1642,2,3,1992,"Parking,Garden,Gym",623147
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,1727,4,4,2017,"Gym,Parking,Security",870542
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,1212,1,2,1999,Security,872445
Premium Villa in Delhi,"Delhi, DL",Villa,1695,1,1,1990,"Security,WiFi",1596604
Premium Condo in Chennai,"Chennai, TN",Condo,2947,2,3,1994,"Gym,WiFi,Security",1011892
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,958,5,2,2016,"Garden,Security,Parking",630428
Premium Penthouse in Kolkata,"Kolkata, WB",Penthouse,3497,5,1,1981,"Parking,WiFi,Pool,Garden,Gym",2812475
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,1541,5,1,2019,"WiFi,Pool,Parking,Garden,Security",758854
Premium Villa in Bangalore,"Bangalore, KA",Villa,934,3,4,2001,"Garden,WiFi,Security",1171024
Premium Condo in Mumbai,"Mumbai, MH",Condo,4627,2,4,2005,"Security,Garden,Pool",3341985
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4599,2,1,2012,"Security,Parking,WiFi,Pool,Gym",2754388
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,4523,3,2,1982,Pool,1579978
Premium Villa in Mumbai,"Mumbai, MH",Villa,3366,5,4,1986,Security,4168180
Premium Villa in Delhi,"Delhi, DL",Villa,4418,6,3,2015,"WiFi,Garden,Gym,Pool",4647871
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,1449,2,2,2007,"Pool,WiFi,Parking,Gym",548900
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,3212,4,2,2011,"Security,Gym,WiFi,Parking",2560690
Premium Condo in Delhi,"Delhi, DL",Condo,2364,3,2,1984,"Parking,WiFi",1569120
Premium Villa in Kolkata,"Kolkata, WB",Villa,838,3,2,2015,"Security,Gym,Parking,Pool,WiFi",679519
Premium Condo in Chennai,"Chennai, TN",Condo,2742,2,4,2013,"Parking,Garden,WiFi,Gym",1018966
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,4957,4,4,1985,Security,3165144
Premium Townhouse in Pune,"Pune, MH",Townhouse,3903,1,2,2013,"Pool,Gym,WiFi,Security",1217570
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,1040,3,3,1983,"Security,Gym,Parking,WiFi,Pool",811871
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,824,3,4,1995,Security,494716
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,3157,4,2,2016,"Security,Pool",2401491
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,3531,6,4,2023,"Parking,Gym",2625815
Premium Condo in Mumbai,"Mumbai, MH",Condo,538,1,3,2004,"Pool,Security",506532
Premium Villa in Mumbai,"Mumbai, MH",Villa,3462,2,4,2013,Security,3954452
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,3566,3,3,2017,"Garden,Security,WiFi",2736475
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,1547,3,1,2011,"Garden,Security,Gym",1263151
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,4383,6,1,2009,Gym,2526278
Premium Penthouse in Pune,"Pune, MH",Penthouse,4740,3,3,2015,"Pool,Security,Gym,Garden,Parking",3247779
Premium Condo in Mumbai,"Mumbai, MH",Condo,2217,6,4,2013,Security,1901738
Premium Condo in Chennai,"Chennai, TN",Condo,1813,2,2,1989,"Gym,WiFi,Pool",746334
Premium Condo in Bangalore,"Bangalore, KA",Condo,4553,3,1,2018,"Gym,Garden,Parking,Pool,WiFi",2198070
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,1405,3,4,2024,"Pool,Security,Garden,Parking,Gym",1020745
Premium Villa in Delhi,"Delhi, DL",Villa,4998,6,3,1985,"WiFi,Gym,Security,Pool",4777699
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,1728,2,3,1989,"Garden,Security,Parking,Pool",1401028
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,2529,5,4,1986,Gym,1546300
Premium Penthouse in Delhi,"Delhi, DL",Penthouse,1826,1,1,2006,"Garden,Security",2020271
Premium Apartment in Chennai,"Chennai, TN",Apartment,1760,6,2,2001,"Pool,WiFi,Gym,Security",833642
Premium Condo in Chennai,"Chennai, TN",Condo,4908,3,4,1988,"Gym,Garden,Parking",1869719
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,819,4,2,2000,"WiFi,Gym,Security,Garden,Pool",669927
Premium Villa in Bangalore,"Bangalore, KA",Villa,2650,5,3,2012,"Gym,Garden,Security,Pool",2519184
Premium Villa in Kolkata,"Kolkata, WB",Villa,1565,3,2,2020,Security,975382
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,910,1,4,1996,Parking,879099
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,2252,4,2,1995,"Pool,Security,Gym,WiFi",897054
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1499,1,2,1992,"Parking,Gym",515020
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,4993,6,2,2011,"Security,WiFi,Parking",3619562
Premium Villa in Bangalore,"Bangalore, KA",Villa,4669,2,2,2023,"Pool,Parking,Gym,Security,Garden",3211219
Premium Condo in Chennai,"Chennai, TN",Condo,1348,2,2,1985,"Pool,Gym,Security,Parking",492690
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,3012,6,2,2020,"Security,Garden,WiFi,Pool",2433424
Premium Villa in Pune,"Pune, MH",Villa,1023,1,2,2003,"Security,Pool,Gym",567525
Premium Villa in Delhi,"Delhi, DL",Villa,2082,6,3,1990,"Parking,Pool,Garden",2403110
Premium Condo in Kolkata,"Kolkata, WB",Condo,1271,2,2,2021,"Security,Parking,Pool,Garden,Gym",541898
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1557,5,1,2009,"Garden,Pool,WiFi,Parking,Security",793576
Premium Condo in Delhi,"Delhi, DL",Condo,2711,4,4,1997,Parking,2137702
Premium Villa in Mumbai,"Mumbai, MH",Villa,2077,2,4,1983,"Security,Gym",2312784
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,2791,2,2,2018,"Garden,Security,Gym,Parking,Pool",1450573
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,3691,4,4,2018,"Security,Garden",1346639
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,945,2,2,1986,"WiFi,Pool,Security,Parking,Garden",416580
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,2622,2,1,1999,"Security,Garden,Pool,Parking,Gym",1660429
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,834,1,3,1997,Parking,569309
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,2760,2,3,1982,"Gym,Pool,Garden,Security",3586960
Premium Condo in Pune,"Pune, MH",Condo,2723,1,2,2006,Pool,870130
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,3127,1,1,1999,"Security,Garden,Parking,Pool",981868
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,534,1,1,2004,"Gym,Parking,WiFi,Security,Garden",334327
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,632,1,2,2003,"Parking,Security,Gym",253470
Premium Condo in Mumbai,"Mumbai, MH",Condo,2788,1,1,1980,"Garden,Parking,Gym,Pool,Security",1669405
Premium Apartment in Delhi,"Delhi, DL",Apartment,4788,6,2,2015,"Security,Gym,Garden,Pool,WiFi",2909827
Premium Apartment in Chennai,"Chennai, TN",Apartment,2122,2,4,2000,"Parking,Pool,Gym",817801
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,2823,5,4,2014,"Security,Pool,Parking,Gym",1233958
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4804,6,3,1984,"WiFi,Parking",3651023
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,2873,1,1,1990,"Security,Garden,Parking,Pool,WiFi",913983
Premium Condo in Bangalore,"Bangalore, KA",Condo,4433,5,1,2000,"Gym,Pool",2318112
Premium Townhouse in Pune,"Pune, MH",Townhouse,4774,5,3,2021,"WiFi,Pool,Parking,Gym",1872838
Premium Condo in Delhi,"Delhi, DL",Condo,4781,1,3,1997,"Pool,Gym",2570557
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,3163,1,1,1988,"Parking,WiFi,Garden,Pool,Gym",1553450
Premium Villa in Kolkata,"Kolkata, WB",Villa,4559,4,2,2007,Garden,2381075
Premium Villa in Kolkata,"Kolkata, WB",Villa,1578,6,3,2020,"Parking,Gym",1253986
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,4171,6,4,2004,"WiFi,Parking,Gym,Pool,Garden",2811469
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,3945,6,4,2000,"Security,Pool",1428385
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,4539,3,3,2008,"Security,WiFi",1548600
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,4357,1,4,1994,"WiFi,Pool,Parking,Garden",1537193
Premium Apartment in Pune,"Pune, MH",Apartment,2902,5,4,1998,WiFi,1090696
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,3413,1,3,1980,Gym,1064507
Premium Condo in Kolkata,"Kolkata, WB",Condo,1086,2,2,1988,"Pool,Security,Garden,WiFi",465878
Premium Condo in Mumbai,"Mumbai, MH",Condo,2555,6,3,2002,Parking,2338888
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,4718,3,3,1981,"Security,Parking,WiFi",3213913
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,1582,6,1,2012,"Garden,Pool",1432754
Premium Penthouse in Kolkata,"Kolkata, WB",Penthouse,1412,3,1,2017,"Security,WiFi,Pool",1160528
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2340,2,4,2009,Pool,902156
Premium Condo in Bangalore,"Bangalore, KA",Condo,4653,2,1,2003,"Pool,Gym,WiFi,Parking",2457148
Premium Condo in Bangalore,"Bangalore, KA",Condo,4781,2,2,2004,Garden,2439491
Premium Penthouse in Pune,"Pune, MH",Penthouse,3647,5,4,1996,"Security,WiFi,Gym,Garden",2580151
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,2716,1,1,2022,"Gym,Parking,WiFi",813656
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,2608,1,3,2009,"Gym,Parking,Pool,Security",1676777
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,2656,1,1,1981,"Parking,Pool",827402
Premium Condo in Bangalore,"Bangalore, KA",Condo,661,5,1,1999,Garden,693433
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,2999,6,3,1991,Garden,1821641
Premium Penthouse in Pune,"Pune, MH",Penthouse,3529,3,2,2000,Gym,2498293
Premium Condo in Chennai,"Chennai, TN",Condo,2640,4,3,1982,Gym,1126874
Premium Apartment in Delhi,"Delhi, DL",Apartment,4527,3,4,1996,"Security,Pool,Garden,Parking,WiFi",2771625
Premium Apartment in Delhi,"Delhi, DL",Apartment,4623,4,2,2010,"Gym,WiFi,Garden,Parking,Pool",2917664
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,730,1,3,2005,"Garden,Parking,WiFi,Security,Gym",302040
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,1917,3,2,1991,"Garden,Parking,WiFi,Gym",820894
Premium Apartment in Delhi,"Delhi, DL",Apartment,977,6,2,1980,"Garden,Pool,Parking",1063758
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,2992,3,3,1983,"Pool,Garden",1012429
Premium Villa in Kolkata,"Kolkata, WB",Villa,3819,5,2,2015,"Parking,Garden,Pool,WiFi,Security",2354531
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,1543,5,2,1980,"Parking,Gym",710018
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,1625,2,2,1985,"Gym,Security",568185
Premium Villa in Kolkata,"Kolkata, WB",Villa,2131,6,3,1992,Security,1490398
Premium Villa in Kolkata,"Kolkata, WB",Villa,1152,6,4,2000,"Gym,Pool,WiFi,Parking,Garden",1006547
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,2344,2,1,2018,Parking,1596577
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,3105,3,3,2016,"Parking,Garden,Pool,WiFi",2284846
Premium Villa in Mumbai,"Mumbai, MH",Villa,4012,1,4,2009,"Pool,Garden,Gym,Parking,Security",3747666
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,971,5,1,1987,"WiFi,Parking,Gym,Garden",1689411
Premium Condo in Delhi,"Delhi, DL",Condo,1430,5,4,1997,Pool,1336927
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,2583,6,4,1980,"Pool,Parking,Garden,Security,Gym",1073596
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,1023,3,1,2007,"Pool,Parking,WiFi,Security,Gym",710094
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,2550,6,2,2024,"Garden,Security",1994007
Premium Condo in Kolkata,"Kolkata, WB",Condo,2045,1,1,2023,Pool,709526
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4566,2,2,2012,"Security,WiFi,Parking",4838933
Premium Penthouse in Pune,"Pune, MH",Penthouse,2799,2,3,1999,"Gym,Garden,WiFi,Parking",2180290
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,1894,2,1,1994,Parking,743318
